Módulo;DATA DE LIBERAÇÃO
Introdução;09/08/2021
Programação Python e Jupyter;09/08/2021
Princípios de Machine Learning (parte 1);09/08/2021
Princípios de Machine Learning (parte 2);16/08/2021
Classificação (parte 1);23/08/2021
Classificação (parte 2);30/08/2021
Classificação (parte 3);06/09/2021
Classificação (Exercícios);13/09/2021
Classificação (parte 4);20/09/2021
Classificação (parte 5);27/09/2021
Regressão (parte 1);04/10/2021
Regressão (parte 2);11/10/2021
Regressão (parte 3);18/10/2021
Redes Neurais (parte 1);25/10/2021
Redes Neurais (parte 2);01/11/2021
Agrupamento (parte 1);08/11/2021
Agrupamento (parte 2);15/11/2021
Agrupamento (parte 3);22/11/2021
Agrupamento (parte 4);29/11/2021
Agrupamento (parte 5);06/12/2021
"Dataprep e ""juntar tudo"" (parte 1)";13/12/2021
"Dataprep e ""juntar tudo"" (parte 2)";20/12/2021
"Dataprep e ""juntar tudo"" (parte 3)";27/12/2021
"Dataprep e ""juntar tudo"" (parte 4)";03/01/2022
"Dataprep e ""juntar tudo"" (parte 5)";10/01/2022
